City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,mount isa,-20.73,139.5,53.6,54,0,1.12,AU,1594235118
88,tuatapere,-46.13,167.68,39.0,83,97,3.0,NZ,1594235126
89,winneba,5.35,-0.62,78.8,83,20,17.22,GH,1594235275
90,ponta do sol,32.67,-17.1,73.99,72,0,2.98,PT,1594235275
91,karratha,-20.74,116.85,66.33,26,0,9.22,AU,1594235275
92,gannan,47.91,123.5,60.96,67,0,3.2,CN,1594235275
93,sao filipe,14.9,-24.5,78.96,83,60,9.26,CV,1594235275
94,batagay,67.63,134.63,46.87,90,99,1.68,RU,1594235275
95,nanortalik,60.14,-45.24,43.7,82,100,5.19,GL,1594235276
96,east london,-33.02,27.91,67.69,54,0,16.11,ZA,1594235159
97,bonfim,3.08,-59.95,88.84,54,39,3.8,BR,1594235276
98,upernavik,72.79,-56.15,43.09,68,40,11.1,GL,1594235125
99,la ronge,55.1,-105.28,62.6,72,90,10.29,CA,1594235277
100,oranjemund,-28.55,16.43,64.44,36,23,11.23,NA,1594235277
101,zyryanskoye,56.83,86.63,62.33,96,100,8.03,RU,1594235277
102,hermanus,-34.42,19.23,57.0,72,100,9.04,ZA,1594235277
103,severo-kurilsk,50.68,156.12,47.97,93,100,15.59,RU,1594235127
104,okha,53.57,142.95,49.82,95,100,7.14,RU,1594235278
105,bethel,41.37,-73.41,75.0,94,75,10.29,US,1594235115
106,miles city,46.41,-105.84,78.8,27,1,12.75,US,1594235278
107,lebu,-37.62,-73.65,50.58,74,100,8.75,CL,1594235278
108,moose factory,51.26,-80.61,84.2,37,40,10.29,CA,1594235278
109,palauig,15.44,119.9,82.47,76,79,4.0,PH,1594235278
110,buraydah,26.33,43.98,96.8,18,0,11.41,SA,1594234989
111,kawhia,-38.07,174.82,42.01,94,83,1.01,NZ,1594235279
112,yeppoon,-23.13,150.73,57.2,87,21,4.7,AU,1594235279
113,tanout,14.97,8.89,95.25,23,0,6.04,NE,1594235279
114,victoria,22.29,114.16,86.0,79,100,15.01,HK,1594235116
115,hithadhoo,-0.6,73.08,85.15,68,6,4.0,MV,1594235279
116,talnakh,69.49,88.4,50.0,81,94,22.37,RU,1594235118
117,fortuna,40.6,-124.16,66.0,82,20,11.41,US,1594235280
118,albany,42.6,-73.97,87.01,59,93,4.0,US,1594235186
119,biasca,46.36,8.97,77.0,57,42,3.36,CH,1594235280
120,pevek,69.7,170.31,43.81,75,100,2.71,RU,1594235091
121,andra,62.51,65.89,74.28,67,0,5.21,RU,1594235281
122,najran,17.49,44.13,95.0,13,40,6.93,SA,1594235281
123,itaituba,-4.28,-55.98,95.0,53,40,5.82,BR,1594235281
124,chalus,36.66,51.42,80.6,83,20,2.24,IR,1594235281
125,opuwo,-18.06,13.84,53.51,43,0,4.79,NA,1594235281
126,bonavista,48.65,-53.11,55.0,84,0,4.0,CA,1594235282
127,dymytrove,48.61,32.98,62.6,67,0,6.71,UA,1594235282
128,thabazimbi,-24.59,27.41,54.91,66,19,5.75,ZA,1594235282
129,narsaq,60.92,-46.05,55.4,58,75,6.93,GL,1594234984
130,avarua,-21.21,-159.78,73.4,69,94,17.22,CK,1594234984
131,petropavlovsk-kamchatskiy,53.05,158.65,50.0,100,90,4.47,RU,1594235023
132,ilulissat,69.22,-51.1,55.4,43,75,13.87,GL,1594235258
133,umm lajj,25.02,37.27,82.53,59,0,3.0,SA,1594234991
134,faanui,-16.48,-151.75,76.55,81,53,29.95,PF,1594235283
135,namatanai,-3.67,152.43,78.57,79,12,5.91,PG,1594235284
136,vardo,70.37,31.11,48.2,93,100,11.41,NO,1594235284
137,georgetown,5.41,100.34,77.0,94,20,11.41,MY,1594235245
138,olafsvik,64.89,-23.71,49.12,73,30,14.79,IS,1594235284
139,ayan,56.45,138.17,48.15,89,10,4.05,RU,1594235285
140,qaanaaq,77.48,-69.36,46.02,56,0,1.72,GL,1594235285
141,mizdah,31.45,12.98,78.55,50,0,14.94,LY,1594235285
142,bowmore,34.94,-79.3,86.0,66,75,18.34,US,1594235285
143,miquelon,47.1,-56.38,64.4,77,0,12.75,PM,1594235286
144,isangel,-19.55,169.27,64.4,100,20,3.36,VU,1594235286
145,kurilsk,45.23,147.88,57.54,94,98,5.35,RU,1594235286
146,los algarrobos,8.5,-82.43,86.0,70,40,4.7,PA,1594235168
147,nikolskoye,59.7,30.79,60.8,72,40,4.47,RU,1594235108
148,geraldton,-28.77,114.6,46.4,100,0,8.34,AU,1594235286
149,port augusta,-32.5,137.77,36.0,80,0,9.17,AU,1594235287
150,vestmannaeyjar,63.44,-20.27,50.0,76,75,18.34,IS,1594235287
151,daru,-9.08,143.21,77.09,88,100,16.44,PG,1594235287
152,krabi,8.07,98.91,79.0,100,20,2.24,TH,1594235288
153,urambo,-5.07,32.05,70.32,42,33,4.43,TZ,1594235288
154,pritomskiy,53.77,87.61,57.79,91,100,1.79,RU,1594235288
155,hun,29.13,15.95,84.94,25,0,8.75,LY,1594235288
156,faya,18.39,42.45,71.6,56,100,3.85,SA,1594235288
157,krasnoborsk,61.56,45.93,72.9,68,34,0.49,RU,1594235288
158,mahibadhoo,3.78,72.97,83.82,68,8,3.31,MV,1594235288
159,salalah,17.02,54.09,82.4,88,75,5.82,OM,1594235289
160,north bend,43.41,-124.22,71.01,68,1,17.22,US,1594235115
161,marawi,8.0,124.29,75.99,90,100,5.99,PH,1594235289
162,kontagora,10.4,5.47,77.18,82,0,3.11,NG,1594235289
163,santa isabel do rio negro,-0.41,-65.02,87.96,60,9,2.17,BR,1594235289
164,new iberia,30.0,-91.82,89.6,70,40,8.05,US,1594235110
165,tuktoyaktuk,69.45,-133.04,35.6,100,90,2.24,CA,1594235086
166,abashiri,44.02,144.27,63.7,96,97,0.25,JP,1594235290
167,banda aceh,5.56,95.32,80.26,64,78,7.27,ID,1594235290
168,atar,20.52,-13.05,118.4,20,65,18.34,MR,1594235290
169,souillac,-20.52,57.52,71.6,60,75,12.75,MU,1594235291
170,cabatuan,10.88,122.49,77.09,83,100,3.74,PH,1594235291
171,kupang,-10.17,123.58,75.02,80,0,11.83,ID,1594235291
172,cherskiy,68.75,161.3,63.63,54,26,7.4,RU,1594235168
173,waverly,42.74,-84.62,89.6,55,75,12.75,US,1594235198
174,springbok,-29.66,17.89,56.53,35,0,8.05,ZA,1594235291
175,north bay,46.32,-79.47,87.01,51,40,8.05,CA,1594235164
176,norman wells,65.28,-126.83,62.6,51,75,13.87,CA,1594235292
177,saskylakh,71.92,114.08,54.52,71,45,9.53,RU,1594235292
178,chunoyar,57.45,97.32,59.41,78,17,6.2,RU,1594235292
179,meulaboh,4.14,96.13,75.6,89,100,6.91,ID,1594235094
180,mogwase,-25.18,27.27,56.5,59,34,10.69,ZA,1594235293
181,bathsheba,13.22,-59.52,87.8,62,40,21.92,BB,1594235293
182,dubbo,-32.25,148.62,46.4,93,21,13.87,AU,1594235293
183,hranice,49.55,17.73,60.01,93,90,3.51,CZ,1594235294
184,bandarbeyla,9.49,50.81,81.05,70,55,28.86,SO,1594235160
185,callaway,30.15,-85.57,90.0,66,20,14.99,US,1594235295
186,vaini,-21.2,-175.2,71.6,94,75,4.7,TO,1594235295
187,berlevag,70.86,29.09,46.4,100,75,6.93,NO,1594235127
188,rawson,-43.3,-65.1,51.13,45,3,19.06,AR,1594235295
189,sola,-13.88,167.55,78.8,94,90,11.41,VU,1594235295
190,coquimbo,-29.95,-71.34,59.0,67,0,13.87,CL,1594235295
191,henties bay,-22.12,14.28,60.62,62,0,9.26,NA,1594235124
192,sao felix do xingu,-6.64,-51.99,90.37,41,78,2.64,BR,1594235296
193,porto walter,-8.27,-72.74,77.31,93,100,2.84,BR,1594235296
194,zhangye,38.93,100.45,74.68,26,47,6.24,CN,1594235296
195,laurel,39.1,-76.85,91.99,43,1,4.7,US,1594235101
196,saint-philippe,-21.36,55.77,68.0,68,58,8.05,RE,1594235296
197,bay roberts,47.6,-53.26,66.99,67,2,5.08,CA,1594235128
198,acapulco,16.86,-99.89,84.2,74,90,5.82,MX,1594235111
199,sitka,57.05,-135.33,55.4,82,90,3.36,US,1594235297
200,qasigiannguit,68.82,-51.19,55.4,43,75,13.87,GL,1594235298
201,san cristobal,7.77,-72.22,96.8,32,40,20.8,VE,1594235170
202,baruun-urt,46.68,113.28,64.9,62,0,8.79,MN,1594235298
203,kjollefjord,70.95,27.35,46.4,100,90,3.36,NO,1594235298
204,sergeyevka,53.88,67.42,65.98,77,2,3.85,KZ,1594235298
205,vila velha,-20.33,-40.29,78.8,65,20,13.87,BR,1594235145
206,port hedland,-20.32,118.57,57.2,30,0,8.05,AU,1594235299
207,lebyazhye,55.27,66.49,68.31,76,0,4.72,RU,1594235299
208,wonthaggi,-38.6,145.59,42.01,91,50,4.36,AU,1594235299
209,quatre cocos,-20.21,57.76,71.6,60,75,12.75,MU,1594235299
210,yulara,-25.24,130.99,46.4,45,100,8.05,AU,1594235299
211,chicama,-7.84,-79.15,71.47,57,100,11.45,PE,1594235028
212,luba,3.46,8.55,78.8,100,40,5.82,GQ,1594235300
213,tautira,-17.73,-149.15,80.6,61,20,2.24,PF,1594235300
214,northam,51.03,-4.22,60.01,100,99,5.99,GB,1594235300
215,samana,19.21,-69.34,89.6,79,40,6.93,DO,1594235300
216,thompson,55.74,-97.86,75.2,41,75,4.7,CA,1594235300
217,iqaluit,63.75,-68.51,46.4,87,90,2.24,CA,1594235301
218,sur,22.57,59.53,89.64,58,67,11.34,OM,1594235301
219,moratuwa,6.77,79.88,82.4,83,40,9.17,LK,1594235301
220,pauini,-7.71,-66.98,90.81,47,52,3.2,BR,1594235301
221,obo,5.4,26.49,70.48,93,78,1.52,CF,1594235302
222,vila franca do campo,37.72,-25.43,69.8,68,75,10.29,PT,1594235302
223,neuquen,-38.95,-68.06,53.6,37,20,16.11,AR,1594235302
224,hirara,24.8,125.28,83.61,82,100,19.53,JP,1594235302
225,carnarvon,-24.87,113.63,59.0,82,0,12.75,AU,1594235302
226,ribeira grande,38.52,-28.7,71.6,73,75,11.41,PT,1594235302
227,havelock,34.88,-76.9,80.01,83,75,5.82,US,1594235197
228,tiksi,71.69,128.87,34.57,96,100,7.23,RU,1594235303
229,lata,40.16,-8.33,78.01,67,0,4.0,PT,1594235154
230,nedjo,9.5,35.5,58.46,99,100,2.08,ET,1594235303
231,anadyr,64.75,177.48,60.8,63,0,2.24,RU,1594235303
232,katsuura,35.13,140.3,77.0,95,100,1.99,JP,1594235303
233,sambava,-14.27,50.17,72.73,88,6,12.46,MG,1594235304
234,aksaray,38.37,34.03,69.8,68,40,8.05,TR,1594235304
235,chokurdakh,70.63,147.92,44.87,79,86,8.9,RU,1594235136
236,victor harbor,-35.57,138.62,48.0,87,0,1.99,AU,1594235304
237,payson,40.04,-111.73,82.0,31,1,4.7,US,1594235304
238,verkhnevilyuysk,63.45,120.32,54.61,66,40,4.43,RU,1594235305
239,fairbanks,64.84,-147.72,55.99,82,90,5.82,US,1594235305
240,airai,-8.93,125.41,55.26,100,32,3.89,TL,1594235091
241,hilo,19.73,-155.09,75.2,88,90,6.93,US,1594235305
242,beringovskiy,63.05,179.32,55.54,68,0,8.32,RU,1594235305
243,kruisfontein,-34.0,24.73,57.25,42,0,7.74,ZA,1594235305
244,bambous virieux,-20.34,57.76,71.6,60,75,12.75,MU,1594235306
245,byron bay,-28.65,153.62,54.0,93,75,4.7,AU,1594235306
246,college,64.86,-147.8,55.4,76,90,3.36,US,1594235163
247,gualaquiza,-3.4,-78.55,73.06,81,80,3.13,EC,1594235306
248,hof,50.32,11.92,55.99,96,96,4.0,DE,1594235306
249,puerto el triunfo,13.28,-88.55,93.2,52,41,3.36,SV,1594235306
250,caraquet,47.79,-64.94,64.4,93,90,6.93,CA,1594235307
251,olga,43.74,135.29,55.9,90,0,4.5,RU,1594235307
252,mount gambier,-37.83,140.77,42.8,87,90,11.41,AU,1594235307
253,andenes,69.31,16.12,51.8,81,2,6.93,NO,1594235307
254,leh,34.17,77.58,63.63,37,1,3.09,IN,1594235088
255,faro,37.02,-7.93,77.0,69,0,18.34,PT,1594235308
256,port lincoln,-34.73,135.87,50.16,54,0,14.76,AU,1594235061
257,wahiawa,21.5,-158.02,82.0,73,1,8.05,US,1594235308
258,saint-augustin,51.23,-58.65,65.93,69,100,23.29,CA,1594235308
259,porto novo,6.5,2.6,78.8,88,40,10.29,BJ,1594235308
260,ferme-neuve,46.7,-75.45,87.87,34,0,5.32,CA,1594235309
261,neryungri,56.67,124.65,56.08,90,100,5.95,RU,1594235132
262,goianesia,-15.32,-49.12,86.0,24,0,4.29,BR,1594235189
263,mafra,-26.11,-49.81,55.99,92,100,24.0,BR,1594235309
264,mahebourg,-20.41,57.7,71.6,60,75,12.75,MU,1594235310
265,biak,-0.91,122.88,76.35,85,85,6.17,ID,1594235310
266,adrar,20.5,-10.07,106.99,7,0,14.56,MR,1594235310
267,mollendo,-17.02,-72.01,63.64,70,51,8.93,PE,1594235310
